name,state,type,inbound_links,outbound_links,source_address.type,source_address.ref_custom_address_group,destination_address.type,protocol,snat_process.policy,snat_process.source_port,snat_process.translated_address.type,snat_process.translated_address.address,position,source_address.address,snat_process.translated_address.ref_custom_address_group,description,destination_address.address,source_port,destination_port
信达期货6-源转换-电信IPV4,DISABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货6-(220-71),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.220,15,,,,,,
信达期货6-源转换-联通IPV4,DISABLE,IPV4,['inside-net9'],['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货6-(220-71),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,218.28.38.71,16,,,,,,
信达期货5-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货5-(222-82),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.222,17,,,,,,
信达期货5-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货5-(222-82),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.165.248.82,18,,,,,,
信达期货3-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货3-(220-74),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.220,19,,,,,,
信达期货3-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货3-(220-74),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.165.248.74,20,,,,,,
信达期货3-源转换-联通IPV4,ENABLE,IPV4,['inside-net9'],['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货3-(220-74),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,218.28.38.71,21,,,,,,
信达期货2-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货2-(219-85),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.219,22,,,,,,
信达期货2-源转换-联通IPV4,ENABLE,IPV4,['inside-net9'],['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货21-(219-70),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,218.28.38.70,23,,,,,,
信达期货2-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货2-(219-85),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.165.248.85,24,,,,,,
信达期货1-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货1-(218-84),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.218,25,,,,,,
信达期货1-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-信达期货1-(218-84),ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.165.248.84,26,,,,,,
云财富-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-云财富,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.205,27,,,,,,
云财富-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-云财富,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.165.248.3,28,,,,,,
