name,description,type,state,busy_protect,schedule_policy,schedule_failure_policy,time_plan,schedule_links,source_address.type,source_address.ref_custom_address_group,destination_address.type,inbound_link,protocol,tos,position,source_address.address,destination_address.ref_isp_address_group
中财期货路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1898-CM-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,EIP-中财期货,ALL,['ALL'],ALL,0,13,,
浙商期货路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1898-CM-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,EIP-浙商期货,ALL,['ALL'],ALL,0,14,,
河南协会路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-河南协会,ALL,['ALL'],ALL,0,15,,
浙期协会路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1898-CM-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,EIP-浙期协会,ALL,['ALL'],ALL,0,16,,
新世纪期货路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1899-CU-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,EIP-新世纪期货,ALL,['ALL'],ALL,0,17,,
中泰路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-中泰期货,ALL,['ALL'],ALL,0,18,,
信达期货路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1898-CM-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,所有信达期货-EIP,ALL,['inside-net9'],ALL,0,19,,
信达期货路由-电信移动联通,,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1898-CM-IPV4(公用)', 'vlan1899-CU-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,EIP-信达期货7-(220-74-71),ALL,['inside-net9'],ALL,0,20,,
信达期货路由-电信联通,,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1899-CU-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,信达期货-电信联通-EIP,ALL,['inside-net9'],ALL,0,21,,
IPV4-ZCE-CU-OUT,ZCE互联网-联通路由主走联通,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['CU-IPV4-ZCE'],ALL,,ISP-ADDRESS-GROUP,['ALL'],ALL,0,22,,联通（原网通）
IPV4-ZCE-CM-OUT,ZCE互联网-移动路由主走移动,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['CM-IPV4-ZCE'],ALL,,ISP-ADDRESS-GROUP,['ALL'],ALL,0,23,,中国移动（原铁通）
IPV4-ZCE-CT-OUT,ZCE互联网-电信路由主走移动,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['CM-IPV4-ZCE'],ALL,,ISP-ADDRESS-GROUP,['ALL'],ALL,0,24,,电信
IPV4-ZCE-OUT-缺省,ZCE互联网-缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['CU-IPV4-ZCE', 'CM-IPV4-ZCE']",ALL,,ALL,['ALL'],ALL,0,25,,
IPV6-ZCE-CU-OUT,联通IPV6主走联通-ZCE互联网,IPV6,DISABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['CU-IPV4-ZCE'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ISP-ADDRESS-GROUP,['LAN-KIND'],ALL,0,26,,联通（原网通）
IPV6-ZCE-CM-OUT,移动IPV6主走移动-ZCE互联网,IPV6,DISABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['CM-IPV4-ZCE'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ISP-ADDRESS-GROUP,['LAN-KIND'],ALL,0,27,,中国移动（原铁通）
IPV6-ZCE-OUT-缺省,IPV6缺省负载均衡-ZCE互联网,IPV6,DISABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['CU-IPV4-ZCE', 'CM-IPV4-ZCE']",CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ALL,['LAN-KIND'],ALL,0,28,,
IPV6-公用-CU-OUT,联通IPV6外出路由-公用互联网,IPV6,DISABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ISP-ADDRESS-GROUP,['LAN-KIND'],ALL,0,29,,联通（原网通）
IPV6-公用-CM-OUT,移动IPV6外出路由-公用互联网,IPV6,DISABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ISP-ADDRESS-GROUP,['LAN-KIND'],ALL,0,30,,中国移动（原铁通）
IPV6-公用-CM-OUT-新,新-移动IPV6外出路由-公用互联网,IPV6,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1896-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ISP-ADDRESS-GROUP,['LAN-KIND'],ALL,0,31,,中国移动（原铁通）
IPV6-公用-CT-OUT,电信IPV6外出路由-公用互联网,IPV6,DISABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ISP-ADDRESS-GROUP,['LAN-KIND'],ALL,0,32,,电信
IPV6-公用-OUT-缺省,IPV6外出缺省负载--公用互联网,IPV6,DISABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1898-CM-IPV4(公用)', 'vlan1899-CU-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ALL,['LAN-KIND'],ALL,0,33,,
